ebay_id,td_id,c4c_id,car_fuel,car_nb_shift,car_desc,car_trans,car_trim,car_version,car_plat,car_d_from,car_d_to,car_y_from,car_y_to,car_ranking,car_mark,car_name,car_doors,car_chassis,car_model_y_from,car_model_y_to,car_code,car_engine_desc,car_aspi,car_alim,car_name_cyl,car_valve,car_kw,car_cv,car_disp,car_cyl,car_nb_cyl,car_type,car_image,car_date_add,car_url,car_user,car_method,car_valid,car_comment
car_ebayID,car_tdID,42800,car_fuel,car_nbShift,car_desc,car_trans,car_trim,car_version,car_plat,car_YFrom,car_YTo,car_year,,ABC_ranking,model_mark,model_name,model_doors,model_chassis,model_YFrom,model_YTo,engine_code,engine_desc,engine_aspi,engine_alim,engine_nameCyl,engine_valve,engine_KW,engine_CV,engine_disp,,engine_nbCyl,engine_type,,,info_URL,info_user,info_method,info_valid,info_comment
228570745,7336,39323,,,,,,1.4 TL/GTL,136,01/02/1980,01/10/1985,1980,1985,,Renault,Fuego,,,,,,,,,,,47 KW,64 PS,,1397.0,,,,,,Jerome,Ebay,C4C updated,C4C_40448
228571005,4749,39324,,,,,,2.1 TD,J/S63,01/11/1994,01/10/1996,1994,1996,,Renault,Espace II,,,,,,,,,,,66 KW,90 PS,,2068.0,,,,,,Jerome,Ebay,True,
228571065,10081,39325,,,,,,2.5 D,FD,01/07/1998,01/01/2001,1998,2001,,Renault,Master II Camionnette,,,,,,,,,,,59 KW,80 PS,,2499.0,,,,,,Jerome,Ebay,True,
228571105,1969,39326,,,,,,0.8,112,01/10/1983,01/10/1988,1983,1988,,Renault,4,,,,,,,,,,,21 KW,29 PS,,845.0,,,,,,Jerome,Ebay,C4C_updated,C4C_40412
228571225,2009,39327,,,,,,1.4,L42,01/09/1981,01/12/1985,1981,1985,,Renault,9,,,,,,,,,,,53 KW,72 PS,,1397.0,,,,,,Jerome,Ebay,True,C4C_40440
228572212,17480,39328,,,,,,1.9 TD,L53,01/09/1990,01/04/1992,1990,1992,,Renault,19 I Chamade,,,,,,,,,,,68 KW,92 PS,,1870.0,,,,,,Jerome,Ebay,True,
228572232,11492,39329,,,,,,2.0i,EA0/1,01/03/1999,01/08/2003,1999,2003,,Renault,Megane I Cabriolet,,,,,,,,,,,80 KW,109 PS,9.1L,1998.0,,,,,,Jerome,Ebay,True,
228578362,12529,39330,,,,,,2.0 Turbo 4x4,L48,01/08/1989,01/10/1993,1989,1993,,Renault,21 A Trois Volumes,,,,,,,,,,,129 KW,175 PS,,1995.0,,,,,,Jerome,Ebay,True,
228578394,27826,39331,,,,,,2.1 D,"T1, T2, T3, T4",01/05/1986,01/02/1989,1986,1989,,Renault,Trafic Camionnette,,,,,,,,,,,43 KW,58 PS,,2068.0,,,,,,Jerome,Ebay,True,
228578412,12559,39332,,,,,,1.3,--,01/07/1975,01/04/1980,1975,1980,,Renault,12 Camionnette/Break,,,,,,,,,,,37 KW,50 PS,,1289.0,,,,,,Jerome,Ebay,C4C updated,C4C_40494
228578472,29876,39333,,,,,,3.0,B54,01/02/1993,01/06/1996,1993,1996,,Renault,Safrane I,,,,,,,,,,,125 KW,170 PS,,2975.0,,,,,,Jerome,Ebay,True,
228579042,5045,39334,,,,,,1.6,"T5, T6, T7",01/01/1984,01/06/1986,1984,1986,,Renault,Trafic Autobus/Autocar,,,,,,,,,,,48 KW,65 PS,3.2L,1647.0,,,,,,Jerome,Ebay,True,
228579282,27717,39335,,,,,,2.0,K48,01/06/1991,01/05/1993,1991,1993,,Renault,21 Break,,,,,,,,,,,75 KW,102 PS,,1995.0,,,,,,Jerome,Ebay,True,
228579429,14183,39336,,,,,,2.0 16V Sport,"BB, CB",01/02/2000,01/06/2009,2000,2009,,Renault,Clio II,,,,,,,,,,,124 KW,169 PS,,1998.0,,,,,,Jerome,Ebay,C4C updated,C4C_40062 - C4C_40068
228579499,8848,39337,,,,,,2.0 16V,EF0,01/03/1995,01/10/1999,1995,1999,,Renault,Sport Spider,,,,,,,,,,,110 KW,150 PS,,1998.0,,,,,,Jerome,Ebay,C4C updated,C4C_40833
228579579,8604,39338,,,,,,1.4 Turbo GT,B/C40,01/01/1985,01/05/1991,1985,1991,,Renault,Super 5,,,,,,,,,,,88 KW,120 PS,,1397.0,,,,,,Jerome,Ebay,True,
228579659,2022,39339,,,,,,1.7,B/C37,01/10/1986,01/12/1988,1986,1988,,Renault,11,,,,,,,,,,,54 KW,73 PS,,1721.0,,,,,,Jerome,Ebay,C4C updated,C4C_40370
228579759,3760,39340,,,,,,1.8,B/C53,01/05/1994,01/12/1995,1994,1995,,Renault,19 II,,,,,,,,,,,79 KW,107 PS,,1794.0,,,,,,Jerome,Ebay,C4C updated,
228580152,5646,39341,,,,,,1.4,LA0/1,01/09/1996,2003-08-01 00:00:00,1996,2003,,Renault,Megane I Classic,,,,,,,,,,,55 KW,75 PS,7.5L,1390.0,,,,,,Jerome,Ebay,C4C updated,C4C_40132
228580242,10693,39342,,,,,,1.0,"F40, G40",01/02/1986,01/05/1992,1986,1992,,Renault,Rapid Camionnette/Monospace,,,,,,,,,,,27 KW,37 PS,,956.0,,,,,,Jerome,Ebay,True,
228580252,2131,39343,,,,,,1.8,"5/357, B/C57",01/01/1991,01/09/1998,1991,1998,,Renault,Clio I,,,,,,,,,,,65 KW,88 PS,,1794.0,,,,,,Jerome,Ebay,True,
228580542,2025,39344,,,,,,1.7,B/C37,01/06/1987,01/12/1988,1987,1988,,Renault,11,,,,,,,,,,,64 KW,87 PS,,1721.0,,,,,,Jerome,Ebay,C4C updated,C4C_40361
228581112,57963,39345,,,,,,1.7,B/C53,01/09/1988,01/04/1992,1988,1992,,Renault,19 I,,,,,,,,,,,68 KW,92 PS,,1721.0,,,,,,Jerome,Ebay,True,
228581656,5347,39346,,,,,,1.6e,DA0/1,01/03/1996,01/03/1999,1996,1999,,Renault,Megane I Coach,,,,,,,,,,,66 KW,90 PS,1.2L,1598.0,,,,,,Jerome,Ebay,C4C updated,C4C_40230
